,principio_activo,concentracion,unidad_de_dispensacion,fabricante,unidad_base,canal,precio_por_tableta,factoresprecio,numerofactor,precio_por_tableta_float,log_precio_por_tableta,concentracion_filtrado,concentracion_en_gramos,principio_activo_encoded,unidad_de_dispensacion_encoded,fabricante_encoded,factoresprecio_encoded,canal_encoded,precio_normalizado
730,ferroso glicina sulfato,ferroso glicina sulfato 600 mg,Solución o suspensión oral,Procter & Gamble,ml,Comercial,"258,637.50",Medio,2,258637.5,12.463186612815532,600 mg,0.6,807,21,355,2,0,13.983258061053055
6994,guaifenesina,guaifenesina 2 g + guaifenesina 3 g,Jarabe,Incobra,ml,Institucional,"12,900.00",Medio,2,12900.0,9.465060106725137,2 g + 3 g,5.0,899,10,213,2,1,0.489023536075644
7091,irinotecan,irinotecan 100 g,Solución o suspensión inyectable,Blau,ml,Institucional,"85,594.75",Medio,2,85594.75,11.357390911364543,100 g,100.0,1045,19,77,2,1,4.480925485247429
5756,ketotifeno,ketotifeno 20 mg,Jarabe,Genfar,ml,Comercial,"8,787.33",Alto,3,8787.33,9.081179984005662,20 mg,0.02,1071,10,173,0,0,0.2631836316905223
9790,travoprost,"travoprost 0,04 mg",Solución o suspensión oftálmica,Synthesis,ml,Institucional,"52,060.00",Medio,2,52060.0,10.86017138696953,04 mg,0.004,1712,20,413,2,1,2.6394247731604006
7966,candesartan,candesartan 16 mg,Tableta o cápsula,Mega Labs,mg,Institucional,933.00,Medio,2,933.0,6.839476438228843,16 mg,0.016,345,27,276,2,1,-0.16812282766780035
1745,levotiroxina de sodio,levotiroxina sodica 100 mcg,Tableta o cápsula,Tecnoquimicas,mcg,Comercial,384.22,Medio,2,384.22,5.953814599656076,100 mcg,9.999999999999999e-05,1123,27,416,2,0,-0.19825809811946973
10722,acetaminofen,acetaminofen 3 g,Solución o suspensión oral,Labquifar,ml,Institucional,"4,580.00",Medio,2,4580.0,8.429672593886743,3 g,3.0,12,21,243,2,1,0.03214564300758543
11283,vitamina k1,vitamina k1 2 mg,Solución o suspensión inyectable,Cheplapharm,ml,Institucional,"14,321.00",Medio,2,14321.0,9.569552095566886,2 mg,0.002,1799,19,95,2,1,0.5670552050720036
4561,acido clavulanico y amoxicilina,"acido clavulanico 1,14 g + amoxicilina 8 g",Polvo para reconstituir a Solución o suspensión oral,Mk,ml,Comercial,"52,835.83",Medio,2,52835.83,10.874963764406667,14 g + 8 g,22.0,66,14,290,2,0,2.682028087556914
11582,sulfametoxazol y trimetoprim,sulfametoxazol 8000 mg + trimetoprim 1600 mg,Solución o suspensión oral,Biochem,ml,Institucional,"23,165.18",Medio,2,23165.18,10.050448735469875,8000 mg + 1600 mg,9.6,1601,21,58,2,1,1.0527175036675158
10824,polatuzumab vedotina,polatuzumab vedotina 140 mg,Polvo para reconstituir a Solución o suspensión inyectable,Roche,mg,Institucional,"40,574,097.00",Medio,2,40574097.0,17.518640440680368,140 mg,0.14,1440,13,372,2,1,2227.8344833531983
1199,diclofenaco,diclofenaco 100 mg,Tableta o cápsula de liberación modificada,La Sante,mg,Comercial,427.00,Bajo,1,427.0,6.059123195581797,100 mg,0.1,586,28,237,1,0,-0.19590891106833372
10032,nitazoxanida,nitazoxanida 2 g,Polvo para reconstituir a Solución o suspensión oral,Biochem,ml,Institucional,"35,428.25",Alto,3,35428.25,10.475293029134193,2 g,2.0,1326,14,58,0,1,1.7261220209927703
5629,cloruro de potasio y cloruro de sodio,"cloruro de sodio 37,5 mg + cloruro de potasio 12,5 mg",Solución o suspensión oftálmica,Oftalmoquimica,ml,Comercial,"41,825.00",Bajo,1,41825.0,10.641273434714453,5 mg + 5 mg,0.01,484,20,317,1,0,2.0773880861950667
9693,ondansetron,ondansetron 4 mg,Tableta o cápsula,Farma,mg,Institucional,"4,000.00",Alto,3,4000.0,8.294299608857235,4 mg,0.004,1355,27,144,0,1,0.000295982192744805
9722,escitalopram,escitalopram 20 mg,Tableta o cápsula,Momenta,mg,Institucional,314.09,Bajo,1,314.09,5.752858312302793,20 mg,0.02,705,27,291,1,1,-0.20210916141765037
2619,cilostazol,cilostazol 100 mg,Tableta o cápsula,Bioquifar,mg,Comercial,"1,344.27",Bajo,1,1344.27,7.204350015384084,100 mg,0.1,416,27,66,1,0,-0.1455386724896633
1889,cetirizina,cetirizina 10 mg,Tableta o cápsula,Ecar,mg,Comercial,322.64,Bajo,1,322.64,5.779631786939639,10 mg,0.01,401,27,127,1,0,-0.20163965348667298
9033,rosuvastatina,rosuvastatina 10 mg,Tableta o cápsula,Colmed,mg,Institucional,220.00,Bajo,1,220.0,5.3981627015177525,10 mg,0.01,1524,27,106,1,1,-0.20727594518673373
11495,lisinopril,lisinopril 10 mg,Tableta o cápsula,Lafrancol,mg,Institucional,"2,554.00",Medio,2,2554.0,7.845807502637805,10 mg,0.01,1142,27,244,2,1,-0.07910851701115096
32,metoclopramida,metoclopramida 10 mg,Tableta o cápsula,Pentacoop,mg,Comercial,213.51,Medio,2,213.51,5.368356357328011,10 mg,0.01,1216,27,335,2,0,-0.20763233190861016
7865,metrotexate,metrotexate 50 mg,Solución o suspensión inyectable,Fresenius,ml,Institucional,"11,090.00",Alto,3,11090.0,9.313889247604742,50 mg,0.05,1229,19,164,0,1,0.38963062905002066
6958,donepezil,donepezil 10 mg,Tableta o cápsula,Procaps,mg,Institucional,629.17,Alto,3,629.17,6.445989624254812,10 mg,0.01,633,27,353,0,1,-0.1848071077460297
3488,dexametasona + neomicina + clotrimazol,"dexametasona 0,04 g + neomicina 0,5 g + clotrimazol 1 g",Cremas o geles o ungüentos o pomadas o pastas o jaleas,Novamed,g,Comercial,"34,506.40",Medio,2,34506.4,10.448929072772792,04 g + 5 g + 1 g,10.0,558,1,310,2,0,1.6755002799200793
8310,hidroclorotiazida e irbesartan,"irbesartan 150 mg + hidroclorotiazida 12,5 mg",Tableta o cápsula,Tecnoquimicas,mg,Institucional,"2,013.50",Alto,3,2013.5,7.608126304631402,150 mg + 5 mg,0.155,918,27,416,0,1,-0.10878910609808433
10829,lacosamida,lacosamida 150 mg,Tableta o cápsula,Clinicos Y Hospitalarios,mg,Institucional,"2,183.33",Bajo,1,2183.33,7.6890644243516055,150 mg,0.15,1075,27,100,1,1,-0.09946319593224918
5957,metocarbamol,metocarbamol 1 g,Solución o suspensión inyectable,Anglopharma,ml,Comercial,"8,385.00",Medio,2,8385.0,9.034318927730707,1 g,1.0,1212,19,29,2,0,0.24109040059460018
9403,carboximetilcelulosa,carboximetilcelulosa 5 mg,Solución o suspensión oftálmica,Incobra,ml,Institucional,"4,066.67",Medio,2,4066.67,8.310825632934016,5 mg,0.005,372,20,213,2,1,0.0039570457902024375
7337,acido ibandronico,acido ibandronico 150 mg,Tableta o cápsula,Procaps,mg,Institucional,"10,588.33",Medio,2,10588.33,9.267602169360757,150 mg,0.15,79,27,353,2,1,0.3620823198414326
7389,irinotecan,irinotecan 100 mg,Solución o suspensión inyectable,Fresenius,ml,Institucional,"50,278.08",Alto,3,50278.08,10.825344365002971,100 mg,0.1,1045,19,164,0,1,2.541573829023882
11565,vitamina b12,vitamina b12 1 mg,Solución o suspensión inyectable,Ecar,ml,Institucional,"1,650.50",Bajo,1,1650.5,7.409439244830844,1 mg,0.001,1790,19,127,1,1,-0.12872260071151045
4414,famotidina,famotidina 10 mg,Tableta o cápsula,Humax,mg,Comercial,644.75,Bajo,1,644.75,6.47041243197595,10 mg,0.01,771,27,207,1,0,-0.18395155996069312
5513,acetato de aluminio,"acetato de aluminio 2,2 g + acetato de aluminio 2,2 g",Polvos o granulados,Bayer,g,Comercial,"1,653.49",Medio,2,1653.49,7.4112480832213095,2 g + 2 g,4.0,42,15,50,2,0,-0.1285584102186891
3942,palivizumab,palivizumab 50 mg,Solución o suspensión inyectable,Astrazeneca,ml,Comercial,"1,545,824.00",Medio,2,1545824.0,14.251068306379608,50 mg,0.05,1382,19,41,2,0,84.66679845836659
8772,acetaminofen y codeina,codeina fosfato 8 mg + acetaminofen 325 mg,Tableta o cápsula,Tecnoquimicas,mg,Institucional,630.00,Alto,3,630.0,6.447305862541213,8 mg + 325 mg,0.333,32,27,416,0,1,-0.1847615297831395
5863,naproxeno,naproxeno 275 mg,Tableta o cápsula,Bayer,mg,Comercial,"5,230.00",Alto,3,5230.0,8.562357743370612,275 mg,0.275,1286,27,50,0,0,0.0678392284035275
4269,alginato de sodio y bicarbonato de sodio,"alginato de sodio 2,5 g + bicarbonato de sodio 2,67 g",Solución o suspensión oral,Comerfar,ml,Comercial,"19,548.78",Bajo,1,19548.78,9.880719312153262,5 g + 67 g,72.0,142,21,108,1,0,0.8541293771661543
1486,hioscina n-butilbromuro,n- butil bromuro de hioscina 10 mg,Tableta o cápsula,Laboratorios Richmond,mg,Comercial,845.05,Medio,2,845.05,6.740578459514635,10 mg,0.01,967,27,242,2,0,-0.17295244433791285
605,montelukast,montelukast 4 mg,Tableta o cápsula,La Sante,mg,Comercial,684.75,Medio,2,684.75,6.530513129817713,4 mg,0.004,1255,27,237,2,0,-0.18175503162863516
6312,naproxeno,naproxeno 550 mg,Tableta o cápsula,Tecnoquimicas,mg,Institucional,401.17,Bajo,1,401.17,5.996874884800257,550 mg,0.55,1286,27,416,1,1,-0.19732731923876015
7116,ibuprofeno,ibuprofeno 800 mg,Tableta o cápsula,Pentacoop,mg,Institucional,141.73,Bajo,1,141.73,4.960954733641677,800 mg,0.8,975,27,335,1,1,-0.21157400200048818
1533,piroxicam,piroxicam 20 mg,Tableta o cápsula,Seres,mg,Comercial,616.90,Medio,2,616.9,6.426326632066933,20 mg,0.02,1437,27,395,2,0,-0.18548089281188848
9803,sucralfato,sucralfato 20 g,Solución o suspensión oral,Incobra,ml,Institucional,"21,000.00",Bajo,1,21000.0,9.952325334619427,20 g,20.0,1591,21,213,1,1,0.9338205233173837
3411,levetiracetam,levetiracetam 1000 mg,Tableta o cápsula,Winthrop,mg,Comercial,"1,933.20",Bajo,1,1933.2,7.567449083282863,1000 mg,1.0,1102,27,440,1,0,-0.1131986367246907
5360,terbinafina,terbinafina 1 g,Solución o suspensión tópica,Glaxosmithkline,ml,Comercial,"35,077.92",Medio,2,35077.92,10.465355659239107,1 g,1.0,1646,24,181,2,0,1.7068842767285235
6922,voriconazol,voriconazol 50 mg,Tableta o cápsula,Pfizer,mg,Institucional,"14,868.00",Medio,2,14868.0,9.607033787697222,50 mg,0.05,1801,27,338,2,1,0.5970927300128963
4436,paliperidona,paliperidona 410 mg,Solución o suspensión inyectable,Janssen,ml,Comercial,"2,781,195.00",Medio,2,2781195.0,14.838391608977863,410 mg,0.41000000000000003,1381,19,224,2,0,152.50498351093637
1330,cetirizina,cetirizina 10 mg,Solución o suspensión oral,Memphis,ml,Comercial,"14,731.60",Bajo,1,14731.6,9.597818004403269,10 mg,0.01,401,21,279,1,0,0.5896025684005787
10210,emtricitabina + elvitegravir + cobicistat + tenofovir,emtricitabina + elvitegravir + cobicistat + tenofovir,Tableta o cápsula,Gilead,mg,Institucional,"17,560.00",Medio,2,17560.0,9.773435813175855,,0.0,676,27,179,2,1,0.744919086760398
957,acido acetilsalicilico,acido acetil salicilico 100 mg,Tableta o cápsula,Bioquifar,mg,Comercial,176.99,Bajo,1,176.99,5.181727368938661,100 mg,0.1,49,27,66,1,0,-0.20963776227577907
3458,bencidamina clorhidrato y cloruro de cetilpiridinio,bencidamina clorhidrato 3 mg + cloruro de cetilpiridinio 1 mg,Tableta o cápsula,Bionutrect,mg,Comercial,"1,156.23",Medio,2,1156.23,7.053784497411638,3 mg + 1 mg,0.004,241,27,64,2,0,-0.15586455217866782
11817,trimetoprim y sulfametoxazol,trimetoprim 160 mg + sulfametoxazol 800 mg,Tableta o cápsula,Tecnoquimicas,mg,Institucional,197.64,Medio,2,197.64,5.2914941411999115,160 mg + 800 mg,0.9600000000000001,1725,27,416,2,1,-0.20850380452435416
6512,dimetilpolisiloxano,"dimetilpolisiloxano 66,6 mg",Solución o suspensión oral,Incobra,ml,Institucional,"13,466.67",Medio,2,13466.67,9.50804727745627,6 mg,0.006,605,21,213,2,1,0.5201412038238263
4093,alprostadil,alprostadil 20 mcg,Solución o suspensión inyectable,Closter Pharma,mcg,Comercial,"750,000.00",Medio,2,750000.0,13.527829818844937,20 mcg,1.9999999999999998e-05,149,19,103,2,0,40.96554937507396
11668,amlodipino,amlodipino 5 mg,Tableta o cápsula,Colmed,mg,Institucional,0.17,Bajo,1,0.17,0.15700374880966475,5 mg,0.005,167,27,106,1,1,-0.21934751576764136
1660,esomeprazol,esomeprazol 40 mg,Tableta o cápsula de liberación modificada,Colmed,mg,Comercial,"2,066.64",Bajo,1,2066.64,7.634163139236511,40 mg,0.04,707,28,106,1,0,-0.10587101820894532
1026,azitromicina,azitromicina 500 mg,Tableta o cápsula,Pauly,mg,Comercial,745.33,Bajo,1,745.33,6.6151678616410825,500 mg,0.5,227,27,334,1,0,-0.17842838946973336
4342,rivastigmina,"rivastigmina 9,5 mg/24h",Parche,Procaps,mg/24h,Comercial,"9,775.10",Medio,2,9775.1,9.187695910491628,5 mg,0.005,1518,12,353,2,0,0.31742525145444495
2589,hidroxido de aluminio,"hidroxido de aluminio 2,39 g + hidroxido de aluminio 0,63 g",Solución o suspensión oral,Labquifar,ml,Comercial,"26,925.00",Medio,2,26925.0,10.20084764153918,39 g + 63 g,102.0,946,21,243,2,0,1.2591812825034712
1247,benzidamina,"benzidamina 0,3 g",Solución o suspensión bucal,Tecnoquimicas,ml,Comercial,"44,027.25",Medio,2,44027.25,10.69258675233194,3 g,3.0,245,17,416,2,0,2.1983206991769335
655,hierro y acido folico,acido folico 1 mg + hierro polimaltosado 100 mg,Tableta o cápsula,Synthesis,mg,Comercial,"2,419.93",Bajo,1,2419.93,7.791907042848014,1 mg + 100 mg,0.101,961,27,413,1,0,-0.08647073084812627
623,loratadina,loratadina 10 mg,Tableta o cápsula,Pauly,mg,Comercial,56.20,Bajo,1,56.2,4.046553898385752,10 mg,0.01,1146,27,334,1,0,-0.21627072870651115
7272,secnidazol,secnidazol 500 mg,Polvo para reconstituir a Solución o suspensión oral,Bioquifar,ml,Institucional,"1,628.80",Medio,2,1628.8,7.3962125868861195,500 mg,0.5,1543,14,66,2,1,-0.1299142173316519
3263,cafeina y acido acetilsalicílico,cafeina 65 mg + acido acetilsalicílico 650 mg,Tableta o cápsula,Bayer,mg,Comercial,"1,019.17",Medio,2,1019.17,6.927724559057638,65 mg + 650 mg,0.7150000000000001,331,27,50,2,0,-0.16339095650846447
2199,ibuprofeno,ibuprofeno 800 mg,Tableta o cápsula,Labquifar,mg,Comercial,551.73,Medio,2,551.73,6.3148696363601955,800 mg,0.8,975,27,243,2,0,-0.18905958659689395
2628,doxiciclina,doxiciclina 100 mg,Tableta o cápsula,Tecnoquimicas,mg,Comercial,707.09,Medio,2,707.09,6.562571204258897,100 mg,0.1,643,27,416,2,0,-0.18052827055518078
5790,tetrinoina,"tetrinoina 0,025 g",Cremas o geles o ungüentos o pomadas o pastas o jaleas,Mega Labs,g,Comercial,"47,288.08",Medio,2,47288.08,10.76403468101857,025 g,25.0,1661,1,276,2,0,2.3773833362025485
10871,ibrutinib,ibrutinib 420 mg,Tableta o cápsula,Janssen,mg,Institucional,"562,977.00",Medio,2,562977.0,13.240995829981772,420 mg,0.42,974,27,224,2,1,30.695516418912
10315,meropenem,meropenem 1000 mg,Polvo para reconstituir a Solución o suspensión inyectable,Pfizer,mg,Institucional,"423,440.00",Alto,3,423440.0,12.956169468138754,1000 mg,1.0,1187,13,338,0,1,23.033092072152662
9080,cafeina,cafeina 10 mg,Solución o suspensión inyectable,Chiesi,ml,Institucional,"14,637.00",Medio,2,14637.0,9.591376166161172,10 mg,0.01,329,19,96,2,1,0.5844077788952615
4401,bromfenaco,"bromfenaco 0,9 mg",Solución o suspensión oftálmica,Sophia,ml,Comercial,"69,680.00",Alto,3,69680.0,11.151682962743728,9 mg,0.009000000000000001,297,20,404,0,0,3.6069955034319383
4885,fexofenadina y fenilefrina,fexofenadina 60 mg + fenilefrina 25 mg,Tableta o cápsula,Tecnoquimicas,mg,Comercial,"7,110.99",Medio,2,7110.99,8.869537371118511,60 mg + 25 mg,0.08499999999999999,809,27,416,2,0,0.17113042408647072
6280,tamsulosina,"tamsulosina 0,4 mg",Tableta o cápsula de liberación modificada,Monte Verde,mg,Institucional,"1,756.74",Alto,3,1756.74,7.47178417197192,4 mg,0.004,1620,28,293,0,1,-0.12288862146156446
6372,metronidazol y clotrimazol,metronidazol base 10 g + clotrimazol 2 g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Siegfried,g,Institucional,"28,188.67",Medio,2,28188.67,10.246710877760817,10 g + 2 g,12.0,1225,1,399,2,1,1.3285734564377636
4403,cinitaprida y simeticona,cinitaprida 10 mg + simeticona 2000 mg,Solución o suspensión oral,Siegfried,ml,Comercial,"59,291.00",Medio,2,59291.0,10.99022966863375,10 mg + 2000 mg,2.01,420,21,399,2,0,3.036502182388181
1746,atenolol,atenolol 100 mg,Tableta o cápsula,Winthrop,mg,Comercial,"1,365.07",Bajo,1,1365.07,7.219693283327297,100 mg,0.1,211,27,440,1,0,-0.14439647775699313
10548,hemina humana,hemina humana 350 mg,Polvo para reconstituir a Solución o suspensión inyectable,Recordati Rare Diseases,mg,Institucional,"20,254,470.00",Medio,2,20254470.0,16.823886117269726,350 mg,0.35000000000000003,908,13,369,2,1,1112.0185732944437
8963,valsartán y amlodipino,amlodipino 10 mg + valsartan 320 mg,Tableta o cápsula,Procaps,mg,Institucional,"2,098.22",Alto,3,2098.22,7.649321126143408,10 mg + 320 mg,0.33,1759,27,353,0,1,-0.10413685909078556
2457,montelukast,montelukast 4 mg,Tableta o cápsula,Bioquifar,mg,Comercial,"1,455.33",Alto,3,1455.33,7.283674851427422,4 mg,0.004,1255,27,66,0,0,-0.13944001157570432
4139,inhibidor de c1,inhibidor de c1 500 ui,Polvo para reconstituir a Solución o suspensión inyectable,Csl,ui,Comercial,"1,843,341.50",Medio,2,1843341.5,14.42709105769327,,0.0,1014,13,113,2,0,101.00443890919304
7478,mebendazol,mebendazol 2 g,Solución o suspensión oral,Pentacoop,ml,Institucional,"1,684.29",Medio,2,1684.29,7.429692934802707,2 g,2.0,1161,21,335,2,1,-0.12686708340300448
76,tinidazol,tinidazol 1 g,Tableta o cápsula,Genfar,g,Comercial,881.90,Medio,2,881.9,6.783211943907537,1 g,1.0,1681,27,173,2,0,-0.17092889261200442
11599,vitamina e,vitamina e 100 mg,Tableta o cápsula,Procaps,mg,Institucional,434.00,Medio,2,434.0,6.075346031088684,100 mg,0.1,1798,27,353,2,1,-0.19552451861022357
11294,fludrocortisona,"fludrocortisona 0,1 mg",Tableta o cápsula,Merck,mg,Institucional,"1,417.00",Alto,3,1417.0,7.257002707092073,1 mg,0.001,824,27,281,0,1,-0.14154483484989888
7770,levotiroxina de sodio,levotiroxina sodica 88 mcg,Tableta o cápsula,Merck,mcg,Institucional,592.00,Bajo,1,592.0,6.385194398997726,88 mcg,8.8e-05,1123,27,281,1,1,-0.18684823169859457
6175,proximetacaina,proximetacaina 5 mg,Solución o suspensión oftálmica,Alcon,ml,Institucional,"43,766.67",Medio,2,43766.67,10.686650695960166,5 mg,0.005,1491,20,15,2,1,2.1840114153577415
7766,rosuvastatina,rosuvastatina 40 mg,Tableta o cápsula,Astrazeneca,mg,Institucional,"13,704.33",Alto,3,13704.33,9.525540087250352,40 mg,0.04,1524,27,41,0,1,0.5331918769087488
2260,dienogest y estradiol,dienogest y estradiol,Tableta o cápsula,Bayer,mg,Comercial,"1,029.72",Medio,2,1029.72,6.938012866142834,,0.0,594,27,50,2,0,-0.16281162216088418
1775,drospirenona y etinilestradiol,"drospirenona 3 mg + etinilestradiol 0,03 mg",Tableta o cápsula,Procaps,mg,Comercial,"1,023.03",Medio,2,1023.03,6.931501102045308,3 mg + 03 mg,0.006,652,27,353,2,0,-0.16317899152442086
4064,desloratadina,desloratadina 50 mg,Solución o suspensión oral,Pentacoop,ml,Comercial,"12,727.27",Bajo,1,12727.27,9.451580782866168,50 mg,0.05,547,21,335,1,0,0.4795383776057347
93,ciprofloxacina,ciprofloxacina 3 mg,Solución o suspensión ótica,Siegfried,mg,Comercial,"45,084.83",Medio,2,45084.83,10.716323285435173,3 mg,0.003,423,25,399,2,0,2.25639581001238
9270,etoricoxib,etoricoxib 90 mg,Tableta o cápsula,Lafrancol,mg,Institucional,"1,808.50",Alto,3,1808.5,7.500805843003797,90 mg,0.09,738,27,244,0,1,-0.12004631379988144
7995,sulfadiazina de plata,sulfadiazina de plata 1 g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Pentacoop,g,Institucional,"4,224.89",Medio,2,4224.89,8.348985168495066,1 g,1.0,1598,1,335,2,1,0.012645413607657767
4679,clindamicina y ketoconazol,clindamicina 100 mg + ketoconazol 400 mg,Óvulo,Mk,mg,Comercial,"7,641.27",Bajo,1,7641.27,8.941449958447883,100 mg + 400 mg,0.5,449,31,290,1,0,0.20024980018456331
714,metoclopramida,metoclopramida 10 mg,Tableta o cápsula,Laproff,mg,Comercial,124.34,Bajo,1,124.34,4.831030044796529,10 mg,0.01,1216,27,246,1,0,-0.2125289426928504
1076,dexametasona,dexametasona 8 g,Solución o suspensión inyectable,Blaskov,ml,Comercial,"1,716.43",Medio,2,1716.43,7.4485842663518,8 g,8.0,555,19,76,2,0,-0.1251021728881959
8784,toxina botulinica,toxina botulinica 300 u,Polvo para reconstituir a Solución o suspensión inyectable,Ipsen,u,Institucional,"405,854.64",Medio,2,405854.64,12.91375280885265,,0.0,1700,13,221,2,1,22.067423535416687
5943,ampicilina,ampicilina 500 mg,Tableta o cápsula,Tecnoquimicas,mg,Comercial,502.73,Medio,2,502.73,6.2220404102394875,500 mg,0.5,184,27,416,2,0,-0.19175033380366496
5620,salbutamol,"salbutamol 0,5 g",Solución o suspensión para inhalación,Glaxosmithkline,ml,Comercial,"17,745.45",Medio,2,17745.45,9.783940774900895,5 g,5.0,1535,22,181,2,0,0.7551027412399018
2015,quetiapina,quetiapina 300 mg,Tableta o cápsula,Tecnoquimicas,mg,Comercial,"2,769.00",Medio,2,2769.0,7.926602599181384,300 mg,0.3,1493,27,416,2,0,-0.06730217722633934
1885,metformina y sulfonilureas,sitagliptina 50 mg + metformina 850 mg,Tableta o cápsula,Merck Sharp Dome,mg,Comercial,"1,988.71",Medio,2,1988.71,7.595744178455871,50 mg + 850 mg,0.9,1201,27,282,2,0,-0.11015040453187726
5364,vitamina k1,vitamina k1 10 mg,Solución o suspensión inyectable,Cheplapharm,ml,Comercial,"16,364.91",Medio,2,16364.91,9.702955791866536,10 mg,0.01,1799,19,95,2,0,0.6792928606514189
5687,hidroxido de aluminio + hidroxido de magnesio + simeticona,"hidroxido de aluminio 4 g + hidroxido de magnesio 4 g + simeticona 0,4 g",Solución o suspensión oral,Anglopharma,ml,Comercial,"18,087.00",Bajo,1,18087.0,9.803004013957805,4 g + 4 g + 4 g,12.0,947,21,29,1,0,0.7738583475352618
7540,etoricoxib,etoricoxib 120 mg,Tableta o cápsula,Merck Sharp Dome,mg,Institucional,"8,378.00",Alto,3,8378.0,9.033483854613287,120 mg,0.12,738,27,282,0,1,0.24070600813649004
1488,hioscina n-butilbromuro y acetaminofen,n- butil bromuro de hioscina 10 mg + acetaminofen 325 mg,Tableta o cápsula,Comerfar,mg,Comercial,951.96,Medio,2,951.96,6.85957293005559,10 mg + 325 mg,0.335,969,27,108,2,0,-0.16708167323840487
4982,etoricoxib,etoricoxib 60 mg,Tableta o cápsula,Altadis,mg,Comercial,"4,007.79",Medio,2,4007.79,8.296244729130331,60 mg,0.06,738,27,20,2,0,0.0007237560854130935
4352,norfloxacina,norfloxacina 400 mg,Tableta o cápsula,Bioquimico Pharma,mg,Comercial,517.85,Medio,2,517.85,6.251614824051288,400 mg,0.4,1336,27,67,2,0,-0.19092004609414706
7666,lapatinib,lapatinib 250 mg,Tableta o cápsula,Novartis,mg,Institucional,"41,989.75",Medio,2,41989.75,10.645204634914297,250 mg,0.25,1090,27,311,2,1,2.08643503726273
3689,oximetazolina,"oximetazolina 0,5 mg",Solución o suspensión para inhalación,Bayer,ml,Comercial,"18,730.00",Medio,2,18730.0,9.837935184295892,5 mg,0.005,1376,22,50,2,0,0.8091675404730937
3160,carbonato de calcio + bicarbonato de sodio + alginato de sodio,quetiapina 200 mg,Tableta o cápsula,Winthrop,mg,Comercial,"2,749.80",Alto,3,2749.8,7.919647057445681,200 mg,0.2,363,27,440,0,0,-0.06835651082572716
4731,gadolinio,"gadolinio 279,3 mg",Solución o suspensión inyectable,Ge Healthcare,ml,Comercial,"60,364.44",Medio,2,60364.44,11.008172034731889,3 mg,0.003,862,19,169,2,0,3.0954482167072888
2846,meloxicam,meloxicam 15 mg + meloxicam 20 mg,Tableta o cápsula,Legrand,mg,Comercial,"4,142.00",Bajo,1,4142.0,8.329175442077402,15 mg + 20 mg,0.035,1174,27,249,1,0,0.008093657771550612
1437,clotrimazol,clotrimazol 500 mg,Tableta o cápsula vaginal,Chalver,mg,Comercial,"23,152.44",Medio,2,23152.44,10.049898644587383,500 mg,0.5,490,29,94,2,0,1.0520179093937554
